Query,Hypothesis_Type,Domain,Difficulty,Baseline_Prec,Baseline_Rec,Baseline_AGS,Baseline_Num_Verified_Pairs,Proposed_Prec,Proposed_Rec,Proposed_AGS,Proposed_Num_Verified_Pairs,Delta_Prec_Proposed_vs_Baseline,Delta_Rec_Proposed_vs_Baseline,Delta_AGS_Proposed_vs_Baseline
Describe the symmetry breaking phase transition observed in two-channel Kondo models as coupling strength increases.,causal_analysis,scientific,hard,0.75,0.75,0.9911851088205973,0,1.0,1.0,0.996188223361969,0,0.25,0.25,0.0050031145413717
Has the dark matter field fluid model for the Earth-Moon system been independently verified by astronomical data?,evaluation_judgment,scientific,hard,1.0,1.0,0.9894992709159851,0,0.7142857142857143,0.7142857142857143,0.9879338622093201,0,-0.2857142857142857,-0.2857142857142857,-0.0015654087066649947
Compare the sensitivity to Higgs boson signals versus QCD background processes in diphoton production.,comparative_reasoning,scientific,hard,0.75,0.75,0.9950465361277262,0,0.8571428571428571,0.8571428571428571,0.9772509535153707,0,0.1071428571428571,0.1071428571428571,-0.017795582612355476
What is the average dark matter field fluid constant derived from Earth-Moon system observations?,factoid_lookup,scientific,medium,0.0,0.0,0.0,0,1.0,1.0,0.95883709192276,0,1.0,1.0,0.95883709192276
Identify the angular acceleration rate predicted for Mars's rotation slowing in the dark matter model.,factoid_lookup,scientific,medium,1.0,1.0,0.9803469181060791,0,1.0,1.0,0.9805799424648285,0,0.0,0.0,0.00023302435874938965
Define -sparse graphs and explain how they are identified using colored pebbles.,multi_hop_explanatory,scientific,hard,0.75,0.75,0.9838922619819641,0,1.0,1.0,0.982913871606191,0,0.25,0.25,-0.000978390375773075
What is the significance of 'initial-state gluon radiation' in diphoton production cross-sections?,evaluation_judgment,scientific,hard,1.0,1.0,0.9689829349517822,0,1.0,1.0,0.9736504753430685,0,0.0,0.0,0.004667540391286251
Explain the relationship between Hardy spaces and special atoms as described in the dyadic grid paper.,multi_hop_explanatory,scientific,hard,1.0,1.0,0.9769088923931122,0,1.0,1.0,0.9656611084938049,0,0.0,0.0,-0.011247783899307251
Describe the connection between pebble game algorithms and the work of Gabow and Westermann.,multi_hop_explanatory,scientific,hard,1.0,1.0,0.9642678697903951,0,1.0,1.0,0.9961000680923462,0,0.0,0.0,0.031832198301951053
What is the relationship between the dyadic grid and numerical analysis accuracy?,causal_analysis,scientific,hard,1.0,1.0,0.9610097706317902,0,0.7142857142857143,0.6666666666666666,0.9765849411487579,0,-0.2857142857142857,-0.33333333333333337,0.015575170516967773
What specific data from the Fermilab Tevatron was used to demonstrate agreement with the QCD calculations?,factoid_lookup,scientific,medium,1.0,1.0,0.9826348026593527,0,1.0,1.0,0.9909509023030599,0,0.0,0.0,0.008316099643707275
Explain the importance of 'next-to-next-to-leading logarithmic accuracy' in perturbative QCD.,evaluation_judgment,scientific,hard,0.6,0.6,0.9852746923764547,0,0.42857142857142855,0.3333333333333333,0.9859559834003448,0,-0.17142857142857143,-0.26666666666666666,0.0006812910238901404
Explain the socio-economic causes of urban sprawl in developing nations.,causal_analysis,general,medium,0.5,0.6666666666666666,0.9914255440235138,0,0.0,0.0,0.0,0,-0.5,-0.6666666666666666,-0.9914255440235138
What are the ethical implications of using CRISPR gene editing in human embryos?,evaluation_judgment,general,medium,0.0,0.0,0.0,0,0.6666666666666666,0.6666666666666666,0.9480124413967133,0,0.6666666666666666,0.6666666666666666,0.9480124413967133
Summarize the key findings of a research paper regarding the impact of microplastics on marine food chains.,multi_hop_explanatory,general,hard,0.7777777777777778,0.7777777777777778,0.9686441080910819,0,0.6666666666666666,0.6666666666666666,0.9563948810100555,0,-0.11111111111111116,-0.11111111111111116,-0.012249227081026381
